,0
0,5122.70707453195
1,4672.138912677858
2,1414.8408601491105
3,1302.7621712962975
4,3514.475733465609
5,2656.3080646344392
6,3849.7562367724854
7,6139.349121031745
8,6072.163423280429
9,874.6243286435783
10,1556.457842592593
11,2051.6030932539697
12,1855.2333961640225
13,4917.371909380922
14,4739.133836561438
15,4405.976631253008
16,7502.119250661375
17,5658.123679232798
18,3481.7981620370356
19,2268.6310833333328
20,7441.490812424032
21,2049.1765449735453
22,5260.977549543052
23,4769.507226560477
24,1750.4617976190484
25,7106.306724964849
26,3885.464034391536
27,5065.9106184544
28,7507.283844079899
29,7413.709790914338
30,1066.4039966931216
31,4775.949476110204
32,5516.965249699376
33,5140.992975681723
34,2191.6115277777794
35,3777.223235750359
36,6251.7896899298385
37,5753.465986772489
38,2384.193243386242
39,3422.178694444446
40,6660.037287420637
41,1766.6754223785476
42,4616.335345705339
43,3660.737134920634
44,7085.740636568156
45,7272.037585197209
46,2886.986640873015
47,4267.145978415102
48,2376.9766071428576
49,1934.4552936507937
50,6532.619493123587
51,6793.621667179309
52,5512.60246296296
53,6696.377426841724
54,4259.958954984831
55,3916.7862559523796
56,3433.3969966931245
57,6732.4093871063105
58,6706.655720908963
59,3524.0490132275113
60,6881.69757934821
61,4327.1162579365055
62,4682.815647486775
63,8076.676905374808
64,7157.875482138141
65,3020.3841071428574
66,4532.54177618664
67,6187.010660173159
68,6618.309375785994
69,5001.874441498317
70,6221.1213507418215
71,7358.050978253816
72,3571.3390965608455
73,6705.943391204349
74,4093.3583079605582
75,6391.010821733568
76,6435.171728659959
77,7035.14185206128
78,3055.3207182539695
79,2178.206589947088
80,4362.067116402119
81,4823.7045886243395
82,5075.312185004815
83,1750.6878730158744
84,4408.572033730165
85,7319.9049606194485
86,5018.179901424963
87,5925.864680555556
88,4678.432058862437
89,4162.902267195767
90,922.916037878788
91,2235.3799107142845
92,6513.950420718954
93,6636.775326481759
94,5060.752416666669
95,3149.695066798943
96,2160.8566871693106
97,7123.725097575833
98,4499.160033004167
99,3277.9693492063475
100,3726.204201058199
101,5859.994013888886
102,3908.1522513227496
103,7252.832994571378
104,3547.8643291847034
105,4323.450433862435
106,7408.195959951313
107,7433.58687230861
108,4827.852196127946
109,2542.394463624338
110,3850.663090608465
111,4155.19133994709
112,3687.368881613754
113,1978.6840674603175
114,2066.2282612433864
115,4840.093335328073
116,4726.99077154883
117,3957.67037868613
118,6752.604331349204
119,5854.457898809526
120,1980.746167328044
121,4650.803205186411
122,4873.648559604748
123,3858.6252658730164
124,4140.452407724221
125,4147.978130952383
126,1524.3342910052913
127,6618.160489590223
128,3492.7852837301575
129,4731.755335232442
130,1762.7135099206369
131,6419.5376494709
132,1551.8125998677253
133,3840.6811825396844
134,3576.723980158732
135,6348.073062648769
136,6866.090652847285
137,4317.187642151831
138,4946.320994475571
139,4656.391624454246
140,5129.460828042327
141,4360.8296520146505
142,5125.757975529104
143,5453.96465542328
144,4084.1529616402113
145,7386.138683649817
146,4834.608444296446
